Customer_ID,Customer_Name,Total_Sales,Total_Profit,Total_Orders,Total_Quantity
CUST14336,Arjun Sahu,499560.0,54067.93,1,5.0
CUST17881,Raj Sharma,499225.0,46955.03229999999,1,5.0
CUST10688,Raj Gupta,497935.0,43014.128233333344,1,5.0
CUST14929,Nisha Jain,497385.0,43610.31,1,5.0
CUST15372,Vikas Nayak,494920.0,52045.18,1,5.0
CUST25094,Abhishek Jain,494505.0,47118.74846666664,1,5.0
CUST12323,Nisha Gupta,493675.0,43218.13416666667,1,5.0
CUST21711,Vikas Panda,491150.0,43115.00406666671,1,5.0
CUST17211,Rahul Panda,491055.0,48287.91360000002,1,5.0
CUST27496,Suresh Pradhan,489690.0,46056.546633333324,1,5.0
CUST10746,Pooja Sharma,488715.0,47692.73589999999,1,5.0
CUST14894,Pooja Nayak,487715.0,50089.79,1,5.0
CUST18169,Rahul Sharma,487010.0,47472.421233333305,1,5.0
CUST15107,Rohit Panda,485800.0,53533.52,1,5.0
CUST28686,Priya Gupta,484215.0,41455.39,1,5.0
CUST17388,Anjali Sharma,482945.0,47961.91863333337,1,5.0
CUST25288,Nisha Rao,479990.0,46952.31890000007,1,5.0
CUST22983,Abhishek Mehta,479775.0,46296.365366666665,1,5.0
CUST28427,Rahul Mishra,477155.0,44822.15389999999,1,5.0
CUST18879,Arjun Dutta,476960.0,51586.39,1,5.0
CUST19499,Sanjay Yadav,475450.35,44826.722466666695,1,5.0
CUST16422,Abhishek Behera,474425.25,50753.3,1,5.0
CUST28078,Swati Mishra,473532.25,37340.14,1,5.0
CUST12001,Suresh Sharma,472777.0,27880.45,1,5.0
CUST18949,Nisha Nayak,472220.0,35917.09,1,5.0
CUST10210,Shreya Singh,472036.0,42015.02440000006,1,5.0
CUST21664,Anjali Rao,471556.25,43839.489233333356,1,5.0
CUST24773,Arjun Gupta,471265.0,40584.39299999994,1,5.0
CUST11899,Shreya Das,470682.25,43388.04640000008,1,5.0
CUST16001,Vivek Jain,470620.0,36007.13123333329,1,5.0
CUST26937,Manish Verma,470460.0,42280.51299999998,1,5.0
CUST26199,Deepak Mehta,469870.0,38618.52636666663,1,5.0
CUST28407,Sneha Patel,469409.25,45437.854866666756,1,5.0
CUST12693,Neha Yadav,469005.5,42870.65083333341,1,5.0
CUST21696,Rahul Sahu,468335.75,44070.025433333314,1,5.0
CUST23175,Unknown,468193.25,44397.07,1,5.0
CUST25601,Vikas Mehta,467990.0,35252.253000000004,1,5.0
CUST11911,Abhishek Kumar,467895.0,24237.27,1,5.0
CUST12978,Neha Panda,466955.0,37141.319466666595,1,5.0
CUST17000,Abhishek Dutta,466554.5,44142.89,1,5.0
CUST27883,Raj Sahu,466260.0,30057.72,1,5.0
CUST26739,Vivek Kumar,466200.0,36881.650666666595,1,5.0
CUST23420,Swati Dutta,465846.75,43432.22816666679,1,5.0
CUST18116,Amit Rao,465695.0,44324.94446666672,1,5.0
CUST10957,Ankit Kumar,465510.0,40780.945533333346,1,5.0
CUST16222,Vivek Verma,465248.25,45105.55,1,5.0
CUST17534,Shreya Jain,465245.0,30394.26,1,5.0
CUST10034,Vikas Sharma,464925.25,47505.47,1,5.0
CUST11753,Vivek Pradhan,464873.0,47186.46946666669,1,5.0
CUST28520,Vivek Panda,464535.75,46020.2641666667,1,5.0
CUST12400,Akash Pradhan,463695.0,45276.48,1,5.0
CUST11943,Raj Panda,463172.5,47066.05066666662,1,5.0
CUST17775,Kavita Nayak,462665.0,56774.58,1,5.0
CUST26024,Riya Kumar,462602.5,54618.84,1,5.0
CUST24294,Suresh Sahu,462316.55,45024.11579999998,1,5.0
CUST27320,Sanjay Mehta,461525.0,48719.525499999945,1,5.0
CUST25020,Anjali Reddy,460755.0,54252.35,1,5.0
CUST20888,Nisha Mehta,459430.0,45731.871366666695,1,5.0
CUST14375,Nisha Jain,459245.0,48750.05953333325,1,5.0
CUST15100,Arjun Sahu,459111.25,33983.13,1,5.0
CUST27134,Raj Rao,458826.25,45216.7655333334,1,5.0
CUST14272,Karan Sahu,458731.25,47261.86623333341,1,5.0
CUST16376,Priya Yadav,458113.75,45558.98676666674,1,5.0
CUST16466,Nisha Dutta,455791.0,43496.92229999999,1,5.0
CUST27629,Priya Jain,455525.0,39240.03313333333,1,5.0
CUST27358,Amit Behera,455515.0,37760.87699999997,1,5.0
CUST26717,Deepak Dutta,455420.0,42452.4884333333,1,5.0
CUST25945,Raj Mohanty,455225.75,44210.96853333333,1,5.0
CUST20883,Neha Patel,454636.75,44072.18433333333,1,5.0
CUST14212,Suresh Dutta,454475.0,45238.62360000005,1,5.0
CUST18941,Sneha Das,454399.25,39020.49,1,5.0
